symbol,open_time,close_time,direction,confidence,entry,sl,tp,sl_pips,tp_pips,outcome,pnl_pips
EURJPYm,2025-04-09 08:00:00,2025-05-01 12:00:00,BUY,0.6324,159.62315,156.73758,163.95151,288.6,432.8,TP,432.8
EURJPYm,2025-04-09 12:00:00,2025-05-02 00:00:00,BUY,0.6978,160.15815,157.29615,164.45115,286.2,429.3,TP,429.3
EURJPYm,2025-04-09 16:00:00,2025-06-12 12:00:00,BUY,0.6678,161.75515,158.53186,166.59008,322.3,483.5,TP,483.5
EURJPYm,2025-04-10 00:00:00,2025-06-10 16:00:00,BUY,0.6931,161.23815,158.32129,165.61344,291.7,437.5,TP,437.5
EURJPYm,2025-04-10 04:00:00,2025-06-10 20:00:00,BUY,0.6818,161.27415,158.35001,165.66036,292.4,438.6,TP,438.6
EURJPYm,2025-04-10 08:00:00,2025-06-10 12:00:00,BUY,0.6902,161.09515,158.14572,165.51929,294.9,442.4,TP,442.4
EURJPYm,2025-04-10 12:00:00,2025-06-11 08:00:00,BUY,0.5907,161.52515,158.66658,165.81301,285.9,428.8,TP,428.8
EURJPYm,2025-04-10 20:00:00,2025-06-11 08:00:00,BUY,0.6662,161.81815,158.94694,166.12497,287.1,430.7,TP,430.7
EURJPYm,2025-04-11 00:00:00,2025-06-16 04:00:00,BUY,0.5735,162.38015,159.31844,166.97272,306.2,459.3,TP,459.3
EURJPYm,2025-04-11 04:00:00,2025-06-16 04:00:00,BUY,0.6693,162.31415,159.15558,167.05201,315.9,473.8,TP,473.8
EURJPYm,2025-04-11 08:00:00,2025-06-12 08:00:00,BUY,0.5816,161.55115,158.29294,166.43847,325.8,488.7,TP,488.7
EURJPYm,2025-04-11 12:00:00,2025-06-20 04:00:00,BUY,0.5674,162.59815,159.25379,167.61469,334.4,501.7,TP,501.7
EURJPYm,2025-04-11 16:00:00,2025-06-20 08:00:00,BUY,0.6629,162.84015,159.59329,167.71044,324.7,487.0,TP,487.0
EURJPYm,2025-04-15 16:00:00,2025-05-01 16:00:00,BUY,0.5586,161.53615,159.79915,164.14165,173.7,260.6,TP,260.6
EURJPYm,2025-04-20 20:00:00,2025-05-01 12:00:00,BUY,0.6503,162.10015,160.76494,164.10297,133.5,200.3,TP,200.3
EURJPYm,2025-04-22 08:00:00,2025-04-25 04:00:00,BUY,0.5614,161.09315,159.79244,163.04422,130.1,195.1,TP,195.1
EURJPYm,2025-04-24 08:00:00,2025-05-12 12:00:00,BUY,0.5726,162.17215,160.46879,164.72719,170.3,255.5,TP,255.5
EURJPYm,2025-04-24 16:00:00,2025-05-12 12:00:00,BUY,0.6008,162.43415,160.80301,164.88086,163.1,244.7,TP,244.7
EURJPYm,2025-05-11 20:00:00,2025-05-16 00:00:00,BUY,0.5926,163.74615,162.63444,165.41372,111.2,166.8,SL,-111.2
EURJPYm,2025-05-18 20:00:00,2025-05-23 08:00:00,BUY,0.5599,162.49715,161.36079,164.20169,113.6,170.5,SL,-113.6
EURJPYm,2025-07-30 20:00:00,2025-08-01 00:00:00,BUY,0.598,170.51915,169.29408,172.35676,122.5,183.8,TP,183.8
EURJPYm,2025-08-05 04:00:00,2025-08-12 00:00:00,BUY,0.6175,170.16815,168.67222,172.41204,149.6,224.4,TP,224.4
EURJPYm,2025-08-31 20:00:00,2025-09-07 20:00:00,BUY,0.5864,171.97715,171.00665,173.4329,97.0,145.6,TP,145.6
EURJPYm,2025-10-05 20:00:00,2025-10-08 00:00:00,BUY,0.6357,175.17815,173.77886,177.27708,139.9,209.9,TP,209.9
EURJPYm,2025-10-06 00:00:00,2025-10-27 12:00:00,BUY,0.6163,175.92815,174.40694,178.20997,152.1,228.2,TP,228.2
EURJPYm,2025-10-06 08:00:00,2025-10-30 04:00:00,BUY,0.5537,175.55115,173.76315,178.23315,178.8,268.2,TP,268.2
